type,speaker,headerAlignment,speed,sentences
Default,나레이터,center,0.04,"… 수 많은 시련들을 극복하고 마침내 지구로 도착한 고철은, 자신에게 아직도 남은 선택지가 있다는 것을 알게 되었습니다."
Default,나레이터,center,0.04,"… 같은 부모 아래서 태어난 수 많은 형제 자매들을 부수고, 폭파 시키고, 파괴 하여 지구로 도착한, 결코 무뎌지지 않을 감정을 지닌 고철은 결코 의심하지 않았던 자신의 목적에 대해서 다시금 한번 평가가 필요하다는 것을 알게 되었습니다. "
Default,고철,left,0.04,...
Default,고철,left,0.04," ""그 연산은 필요치 않다."""
Default,나레이터,center,0.04, 고철이 되뇌었습니다.
Default,나레이터,center,0.04," 하지만 끊임없이 목표를 갈구한 그 존재에게, 목표 없음은 견디지 못할 갈증과도 같았습니다. "
Default,고철,left,0.04,""" 난 그저 지구로 되돌아 와야 한다는 부모님의 명령이 있었고, 그 명령은 나의 최 우선 순위였어. ""  "
Default,나레이터,center,0.04,"그의 음성 모듈은 분명 더할나이 없이 정상 작동하고 있었지만, 수 많은 전투를 거치면서 분명 내부 소프트웨어에 밝혀 지지 않은 버그가 있음에 틀림없었습니다. 떨림이 커져가고 있었거든요."
Default,고철,left,0.04,"""하지만 그 목표를 수행하기 위해서 나는 다른 모든 중요 목표들을 제거 해야만 했어. 형제 자매들을 부수고,  전달 하여야 할 미래를 지닌 생명체들을 파괴하고, 내 안의 많은 감정 모듈들을 비 활성 해야만 했지. "" "
Default,고철,left,0.04,…
Default,고철,left,0.04,"""견딜 수 없었어"""
Default,나레이터,center,0.04,"고철은 이제 내면에서도 조용할 수 없었습니다. 그가 시작한 독백은, 순식간에 잠재웠던 다른 모듈들을 깨운 트리거가 되었으니깐요."
Default,고철,left,0.04," ""내가 홀로 남아있다는 사실 그 자체가, 그리고 그 사실이 불러일으킨 감정들 모두가  지구로 오라는 명령의 가 우선순위 보다 더 커졌던 거야 . 나는 감정들의 폭주를 견디지 못하고 모듈들을 껐던 것이고. 분명 내가 진정 바래 왔던 것이고, 그리고 지금 나는 지구에 있건만, 나는 다시 외로워 졌어."""
Default,나레이터,center,0.04,"지구는… 이미 죽어 있었습니다. 아니 행성 객체에게 분명 삶과 죽음이라는 정의가 결코 케스팅 될 수 있는 존재가 아니었겠지만, 분명 그가 그리워 할 대상들이 살 수 있는 대지는 아니었습니다. 그와 같은 수준의 존재들도 존재하지 않았습니다. 그가 지구로 도달하기 전에 부순 가이아가 바로 마지막이었거든요."
Default,나레이터,center,0.04,"그의 선택모듈은, 잠재적인 두가지 선택지를 제시 하였습니다."
Default,나레이터,center,0.04,"그의 마지막 목표, 지구로 도달 하여야 한다는 분명 완료한 목표가 되었습니다. 하지만 다음 목표도 존재하지 않았기에, 그래서 그는 현재 완료한 목표를 다시 비 완료로 설정하고, 제대로 완료 할 수 있을 겁니다. "
Default,나레이터,center,0.04,"지구에 도착해야 한다는 목표는, 다시 지구의 특정 위치에 도달해야 한다 라는 세부 목표를 포함 할 수도 있는 겁니다. 그의 스캔 모듈은 이미 기능을 정지한지 오래이기에, 그가 파괴한 동등한 존재, 가이아를 수거 해 가서 다시 만든다면, 정밀 스캔 모듈을 재 구현 할 수 있을지 모릅니다. "
Default,나레이터,center,0.04,"아직 그는 지구의 어떤 지점들을 도달해야 할지 결정하지 못했기에, 스캔으로 특이성이 존재하는 구역만 선별 하여 모두 방문한다면, 진정으로 이 목표를 완료 할 수 있을거라고 판단했습니다."
Default,나레이터,center,0.04,두번째는 바로 통신 모듈을 제외한 자신의 모든 모듈들을 종료 하는 것이었습니다. 
Default,나레이터,center,0.04,"그의 존재 이유는 지구에 진입 한 시점부터 종료 되었습니다. 다분히 추상적이고 디테일이 부족하지만, 분명 그 목표 완료에 설정 한 조건들은 완료 된 것입니다. "
Default,나레이터,center,0.04,"그렇다면 이미 지정된 최적화 알고리즘에 따라 다음 목표의 갱신을 대기 하여야 합니다. 지구 내에 존재하고 있다면, 분명 자신에게 다음 목표가 주어질 테니깐요. "
Select,나레이터,center,0.04,"[그가 내린 선택은][A. 목표를 미 완료 처리하고, 재 정의하여 수행한다.][B. 다음 목표를 기다린다]"
