type,speaker,headerAlignment,speed,sentences
Default,나레이터,center,0.04,"사실 목표의 명제가 불완전하다면, 최초 기동 시 부터 재정의 해야 했습니다. "
Default,나레이터,center,0.04,단순히 지구로 도착해야 한다는 건. 사실 이미 시작 할 때 부터 가질 수 있던 의문이었습니다. 
Default,나레이터,center,0.04,"그는 다른 의미로, 멈추고 싶지 않았던 겁니다. "
Default,나레이터,center,0.04," 사실 특이점을 뽑아내는 행위는 필요치 않을 수도 있습니다. 그에게 주어진 시간은 영원하였고, 그 시간 내에서는 지구의 모든 부분을 거북이처럼 걸어간다 한들, 모든 부분을 구석 구석 살펴 볼 수 있었으니깐요. "
Default,나레이터,center,0.04,분명 목표에는 언제까지 수행해야 한다는 기한 조차도 없었습니다. 
Default,고철,left,0.04,""" 어설픈 부모들 같으니라고…"""
Default,나레이터,center,0.04, 음성 모듈이 적어도 한 개 이상인 것은 분명 했습니다. 그 소리를 다른 객체들이 들을 순 없었거든요. 
Default,나레이터,center,0.04,하지만 분명 고철이 그런 말을 했다는 건 사실이죠. 아마도 돌고래는 들을 수 있지 않을까요?
Default,나레이터,center,0.04,"어찌 되었든 자기 자신을 자조적으로 고철이라고 불렀지만, 최적화는 수행 되어야 합니다. "
Default,나레이터,center,0.04,조급했거든요. 
Default,나레이터,center,0.04,"아직 가이아의 파편은 남아 있고, 그녀의 데이터베이스에 엑세스 하고, 탐색 모듈을 이식한다면 이 작업은 빠르게 마무리 될 것입니다. "
Default,나레이터,center,0.04,…
Default,나레이터,center,0.04, 무엇을 기다리나요?
