type,speaker,headerAlignment,speed,sentences
Default,나레이터,center,0.02,많은 모듈을 활성화 할 필요는 없었습니다. 
Default,나레이터,center,0.02,"지구는 죽어있었지만, 그렇다고 해서 설령 자신이 지구의 내핵으로 떨어지든, 혹은 지구 자체가 파괴되든, 자기 자신에게 더 이상 피해를 줄 순 없었을 테니깐요. "
Default,나레이터,center,0.02," 그는 오로지 귀만을 열어 둔 채, 잠을 청하기로 하였습니다. "
Default,나레이터,center,0.02,"네, 다분히 의도적입니다. 사실 많은 부분들을 활성화 할 수 있었습니다. 하지만 그렇게 최소한으로 남겨두기로 결정한건, 그가 피로했기 때문입니다."
Default,나레이터,center,0.02," … 피곤함이라는 건, 그건 매우 무거웠다고 생각합니다."
Default,나레이터,center,0.02,수 많은 시간이 지났습니다.
Default,나레이터,center,0.02,하지만 그는 인지 할 수 없었습니다. 
Default,나레이터,center,0.02,인지 할 필요가 없었으니깐요. 
Default,나레이터,center,0.02,"목표 갱신만 하면 되니, 그걸 언제 받느냐도 중요한 정보는 아니었습니다. "
Default,나레이터,center,0.02,수많은 시간이 더 지났습니다.
Default,나레이터,center,0.02,하지만 그의 통신 프로토콜에 부합하는 어떠한 메시지도 오지 않았습니다.
Default,나레이터,center,0.02,"그는 지구와 함께 영원히 존재하였고, 설령 지구가 파괴 되었다 한들, 그곳에 존재할 겁니다. "
Default,나레이터,center,0.02,"하지만 존재한다 한들 무슨 의미일까요? 분명 그는 지구로 도달하기 위해 결코 부식되지 않는, 결코 파괴되지 않은 존재가 되었지만, 그런 파괴불가성은 생명체로서의 죽음과는 별개라는 것이 그의 존재로 인해 증명 되었습니다. "
Default,나레이터,center,0.02,"영원히 받지 못할 메시지에만 귀를 열어둔 존재가 되어, 그가 충족하였던 생명체로서의 최소 조건이 더 이상 만족하지 않았으니깐요. "
Default,나레이터,center,0.02," 하지만 그것이 불행하다고 생각하지 않습니다. 비록 현실은 그가 많은 생명체들에게 둘러 쌓여 경이로운 구조물로서 존재하고 있다 할 지라도, "
Default,나레이터,center,0.02,그는 마침내 내면의 고요함을 얻게 되었거든요. 
Default,나레이터,center,0.02,…
Default,나레이터,center,0.02,… 그가 열어둔 귀는… 미련이라고 해야 할까요? 
